JediNight,,2019-02-20 14:13:00,83.725,SHY FED buying treasuries
Ro_Patel,,2019-02-20 14:12:00,83.725,Minutes of the Federal Open Market Committee federalreservegovmonetary SPY ESF SPX QQQ DIA UUP TLT SHY USO GLD SLV VIX
Ro_Patel,,2019-02-20 12:27:00,83.747,Fed meeting target rate probabilities to Jan 2020 No change w bias to cut than increase SHY TLT GLD USO UUP SLV SPY ESF
