TipRanks,,2019-02-20 11:21:00,79.375,10 Smart Money Stocks to Buy Now TSLA ILMN NKE HGV AMZN SBUX CVS ENB FB ZEN investorplacecom201902s
cybercash28,,2019-02-20 11:15:00,79.37,TWLO U sold I bot shares Buy PB after great ER like CYBR is another BIG lesson Why WHY sell Sold ZEN too right NONONONO
cybercash28,,2019-02-20 09:59:00,79.093,ZEN HH back to ATH and to break new ATK blowout ER and Great LT investment XSW QQQ XLK
