Frizzman,,2019-02-20 10:09:00,5.124,ZNGA too quiet over here
thequ4nt,,2019-02-20 09:33:00,5.128,500am UTC8 Feb 20 iPhone US Top 100 Grossing ZNGA Oz 82 WwF2 97 GLUU Source AppAnnie
thequ4nt,,2019-02-20 09:33:00,5.128,500am UTC8 Feb 20 iPhone US Top 100 Grossing ZNGA EP 24 CSR2 39 Merge 43 ZP 67 GLUU DH 29 KK 73 MLB 76 CF 81
