eenmakkie,,2019-02-20 10:08:00,8.1,PLUG FCEL HYGS are booming for nothing BLDP will follow soon
Tgar13,,2019-02-20 09:45:00,8.055,Fuel cell buses from New Flyer successfully complete rigorous testing BLDP HYGS TSLA hydrogenfuelnewscomfuelc
Tgar13,,2019-02-20 09:42:00,8.115,The Batman in hydrogen fuel cells EurekAlert Science News TSLA F HYGS KNDI BLDP FCEL eurekalertorgpubreleases
Tgar13,,2019-02-20 09:39:00,8.05,Hydrogen Fuel Cell Vehicle Market 2019 Global Size Trends PLUG HYGS TSLA FCEL BLDP marketwatchcompressrelea
Tgar13,,2019-02-20 09:35:00,7.92,Hyundais Nexo makes a case for fuelcell SUVs HYGS BLDP FCEL engadgetcom20190219201
