debbiekatz,,2019-02-20 10:56:00,5.275,INSG easy 56 at 528
StonewallSolutions,True,2019-02-20 10:41:00,5.26,Hump Day tradesHROW Massive vol on this move Breakout comingINSG Will it break this 520s resistanceCRON Even dragging ACB up
StonewallSolutions,True,2019-02-20 09:43:00,5.18,HROW On the move in this Hot chartNESRF Gold miner w amazing chartINSG Ideal movementsDSKE Adding on dips
