taguru,,2019-02-20 15:48:00,0.5155,EVLV EVINE Live EVLV 052 lost 51 in three months tickeroncomeventid621988
Bulldogs79,True,2019-02-20 11:43:00,0.52,EVLV Theresa sees the potential in Evine to come over from a large company like Target The true value of EVLV is 350 IMO
Bulldogs79,,2019-02-20 09:56:00,0.5278,EVLV Top talent coming over from Target Theresa schmit has 18 years of expertise in retail she managed a 16 billion category at target
