LordOfGaz,,2019-02-20 12:21:00,48.9,Potentials CRON GH MIME CLF PS CGC
cybercash28,,2019-02-20 11:17:00,49.081,MIME Blowout ER so BTD let the impatient people sell Very simple
EstimizeAlerts,,2019-02-20 10:39:00,48.755,Estimize EPS expectations are 148 lower than that of Wall Street for MIME Q4 Reporting 0514 AMCestimizecomintromimecha
cybercash28,,2019-02-20 10:35:00,48.62,MIME very good setup to addbuy it will go back to ATH after blowout ER watch to learn see that in IRBT PAYC etc
cybercash28,,2019-02-20 09:48:00,48.06,MIME higher high PB after blowout ER is great entry QQQ XLK
