analyst_ratings,,2019-05-21 15:29:00,19.517,BOX has 8 buy ratings 0 sell ratings and 5 hold ratings blueequityiosymbolBOXRe
EstimizeAlerts,,2019-05-21 14:21:00,19.57,BOX reported 37504M Deferred Revenue last quarter Next report is on 0603 AMC Jury is still out on expectations Whats yoursestimizecomintroboxchar
EstimizeAlerts,,2019-05-21 10:30:00,19.455,Estimize revenue expectations are 038 higher than that of Wall Street for BOX Q1 Reporting 0603 AMCestimizecomintroboxchar
