camouflage14,False,2019-05-21 13:10:00,2.67,RLM yeah somehow shareholders always get screwed in these deal
IzY,,2019-05-21 11:43:00,2.487,RLM abort the deal and start trading at 400 instead and choose to do something better with the shareholders money imo
IzY,,2019-05-21 11:11:00,2.502,RLM trading at a 12MillUs mcap as we speak what did we get for our 21MUs cash we had hahahaha
