michaelbmaxey,,2019-05-21 15:25:00,2.35,KODK But Ken promised 12 over 6 months agothis isnt fair
jcamp657,,2019-05-21 14:29:00,2.342,KODK part time CEO only does retweeting on twitter Hes just looking to get out alive since he was thrown into the firing range
jcamp657,,2019-05-21 14:25:00,2.342,KODK Kodak keeps taking millions from shareholders every chance they get Part time CEO How do these crooks sleep at night As Trump would sayLock them up
Vps74,,2019-05-21 13:58:00,2.35,KODK Im hoping ceo wakes up and starts promoting the stock
Vps74,,2019-05-21 13:57:00,2.34,KODK because its a low float stock and can be manipulated very easy
LastHope,,2019-05-21 10:40:00,2.36,KODK Can someone explain why the price action is so poor even though convertible notes are being issued at 317
Vps74,,2019-05-21 09:50:00,2.34,KODK controlled by shorts
