EpicEric,,2019-05-21 15:53:00,0.3855,OBLN faded
SirTrades,,2019-05-21 15:06:00,0.3892,OBLN 30s
SunnyP,,2019-05-21 14:25:00,0.3981,OBLNtechknowbitscom20190520
SunnyP,,2019-05-21 12:46:00,0.395,OBLN what is going on with this today Such dry volume
SunnyP,,2019-05-21 09:36:00,0.3817,OBLN just received a response from the company Continuing to feel positive with what I have received as they are actively working
