Tradizzy,True,2019-05-21 15:45:00,12.19,RRTS Back from the sell off after ER Nice
Craig305,,2019-05-21 12:41:00,12.27,RRTS Watching L2saw Ask increase higher in share price with No change in volume Saw a large Ask disappear with only 100 share buy
Craig305,True,2019-05-21 12:33:00,12.155,RRTS beep beepthe roadrunner has spoken and started to run
