T71,,2019-05-21 12:12:00,0.8302,HTBX many are bearish here but why does the stock have nearly 16000 watchers
LudwigVanBeethoven,,2019-05-21 11:04:00,0.8174,HTBX two INDs soon and one gives 69M in grants PTX35 Cant say they have nothing going on lol So why is this down Intentional cheap buys in lack of an offering having 20M cash
LudwigVanBeethoven,,2019-05-21 11:01:00,0.818,HTBX interesting They moved 20c lower but then bouncing up a lot on a regular basis 133 needs to be broken
