sleekOptions,True,2019-05-21 14:31:00,56.24,FL In the last six months 18 setups peaked above 100 percentage after they were posted
EstimizeAlerts,,2019-05-21 14:24:00,56.2,FL analysts on Estimize expect 29952 YoY growth in Comparable Store Sales for Q1 up from 6600 in previous year Reporting 0524 estimizecomintroflchart
EstimizeAlerts,,2019-05-21 12:45:00,56.232,FL estimates distribution heres what 3 Estimize analysts are expecting FL to report for Q1 Comparable Store Sales on 0524 BMOestimizecomintroflchart
EstimizeAlerts,,2019-05-21 11:07:00,56.041,Heres what 3 Estimize analysts believe FL will report for Q1 Comparable Store Sales on 0524 BMOestimizecomintroflchart
VladoSykora,,2019-05-21 10:48:00,55.895,Some SP500 Analysts Ratings AMAT FL HES HSIC JWNsource finscreener
EstimizeAlerts,,2019-05-21 09:30:00,55.5,FL analysts on Estimize expect 29952 YoY growth in Comparable Store Sales for Q1 up from 6600 in previous year Reporting 0524 estimizecomintroflchart
