stockinvestor333,38.74,0.79,1.0,0.0
alonzo11,37.96,3.94,4.0,1.0
jhrzog301,36.98,3.95,4.0,3.0
llmarsh3,35.32,25.0,3.0,2.0
stephaniess,34.34,53.85,5.0,2.0
pw3048,33.43,71.43,25.0,15.0
barre,32.99,25.81,16.0,0.0
DarthTrader318,31.76,7.32,1.0,2.0
alex56stewart,30.2,9.09,1.0,2.0
swati2,29.69,28.57,7.0,3.0
Ahri,28.31,1.8,2.0,2.0
HansM,27.13,2.61,6.0,0.0
luckeee,26.44,1.85,1.0,3.0
Lennn84,26.34,8.64,7.0,0.0
BDBVT1,23.34,29.27,11.0,1.0
dontgethigh,22.98,58.33,7.0,0.0
Montpbm,22.93,4.32,11.0,2.0
Dragonscale,22.57,8.96,6.0,0.0
coastalsouthernllc,22.57,6.0,6.0,0.0
AdmiralAckbar,21.98,8.82,6.0,0.0
srac84,20.91,17.39,7.0,5.0
NZtrader,20.21,50.0,1.0,2.0
Desirebrittany,18.45,100.0,15.0,8.0
MoneyByTheCharts,17.94,1.77,9.0,6.0
tmore1,17.43,6.58,1.0,4.0
NoHoesJoe,15.05,6.15,4.0,0.0
Bryan07,13.53,7.69,2.0,0.0
InvestGem,13.36,1.49,8.0,0.0
Chumap,11.29,15.0,3.0,0.0
Super777,11.23,17.07,6.0,1.0
Marco911,11.19,9.55,7.0,14.0
ishhh,9.21,8.89,4.0,0.0
DavidNeumann,8.56,1.36,2.0,0.0
helpfulPossum,8.32,8.0,2.0,0.0
frankwright,8.32,22.22,2.0,0.0
frankenfarm,8.25,6.82,3.0,0.0
Mikep7703,7.98,1.32,2.0,0.0
gameon1313,7.52,1.46,2.0,0.0
SpikerST,7.52,2.17,2.0,0.0
ramfire,7.43,30.0,4.0,5.0
mrpibb37,6.77,11.11,1.0,0.0
mdamage,6.67,4.88,2.0,0.0
havivi77,6.63,8.89,4.0,0.0
samchaninvest,6.49,12.5,1.0,0.0
SheepTrader,6.38,26.67,3.0,1.0
zokiki,6.11,22.22,4.0,0.0
FatNinjaRider,5.76,0.7,3.0,0.0
Penny4YourThoughts,5.48,4.0,1.0,0.0
Jamessco,5.25,50.0,3.0,1.0
SwingReaper,4.94,2.5,2.0,0.0
ClimbthisD,4.74,4.88,5.0,3.0
miwsajm,4.48,27.27,3.0,0.0
ZenMusic,4.43,3.7,2.0,0.0
MarketComedy,4.28,14.29,1.0,0.0
HollaAtYoKabob,4.28,2.13,1.0,0.0
Zipkoo,4.16,2.38,1.0,0.0
TraderDom,4.16,20.0,1.0,0.0
BenJaminit,4.16,3.45,1.0,0.0
Jill222,4.16,5.88,1.0,0.0
TradeYa,4.16,5.56,1.0,0.0
trippindicular,4.16,5.0,1.0,0.0
NewbinvestorJoe,3.82,15.38,4.0,0.0
bonnyboy505,3.76,0.9,1.0,0.0
BobVance,3.76,1.25,1.0,0.0
Peter260,3.76,2.22,1.0,0.0
GodPlutus,3.76,3.12,1.0,0.0
mrmom515,3.76,5.56,1.0,0.0
mattd7,3.76,3.23,1.0,0.0
SteelforceGreggTwits,3.76,2.91,2.0,1.0
McBaggins,3.76,5.88,1.0,0.0
TenaciousTrader,3.76,1.54,1.0,0.0
AnyFuturechip,3.76,6.67,1.0,0.0
raymond2161,3.76,4.0,1.0,0.0
SevMVP,3.76,6.25,1.0,0.0
ztmorris,3.76,2.17,1.0,0.0
byers07,3.76,1.61,1.0,0.0
Millwallpride,3.75,33.33,2.0,0.0
Willie13,3.69,8.51,3.0,1.0
Ethicapital,3.55,1.36,2.0,0.0
dilutionjuice,3.45,6.9,2.0,0.0
Manraj777,3.45,2.67,2.0,0.0
Inout,3.38,50.0,7.0,5.0
MrFatBull,3.36,0.27,1.0,0.0
Spevano,3.34,33.33,2.0,0.0
Camilo350z,3.27,3.33,1.0,0.0
gottsbrain,3.18,20.69,4.0,8.0
Wakana,3.11,10.0,2.0,0.0
Lakerstrader,2.98,3.57,2.0,0.0
syk916,2.85,9.76,3.0,1.0
christrader7,2.57,2.33,2.0,0.0
guiderman,2.55,2.78,1.0,0.0
Bameron,2.37,20.0,2.0,0.0
PapaSmurfVA,2.32,6.0,7.0,2.0
snash,2.31,15.38,2.0,0.0
Malcolmjs34,2.17,16.67,1.0,0.0
kreftslag,2.17,4.35,1.0,0.0
Sgrave,2.17,100.0,1.0,0.0
tradegator,2.16,1.61,1.0,0.0
WhamBamThankYouLamb,2.16,3.45,1.0,0.0
Saucebause,2.16,16.67,1.0,0.0
TickerhoundG,2.16,2.78,1.0,0.0
MKrizzla,2.08,50.0,5.0,3.0
Rocky1111,1.91,28.57,2.0,0.0
NACH0,1.91,2.78,2.0,0.0
H20oO,1.88,0.79,1.0,0.0
fitbroweaver,1.88,2.44,1.0,0.0
jenks37,1.88,5.26,1.0,0.0
Lmac513,1.85,71.43,4.0,1.0
ChartWars,1.74,3.03,2.0,1.0
Easterntrader,1.73,0.89,1.0,0.0
ramirogaliza,1.73,1.59,1.0,0.0
GemThief,1.73,4.76,1.0,0.0
Klinsmann,1.67,25.0,1.0,0.0
leonidasforteza,1.67,33.33,1.0,0.0
TeachMeHowToStockie,1.49,7.14,1.0,0.0
Scjaghab26,1.37,9.68,2.0,1.0
Tracerx,1.37,0.52,1.0,0.0
MoneyMoneyMaker,1.37,0.48,1.0,0.0
mochaJ,1.29,8.33,1.0,0.0
