SLDTrader,,2019-02-15 15:17:00,127.32,EXPE dropping off the cliff soon
thechad369,False,2019-02-15 10:47:00,127.3,EXPE that chart will give you shivers
thechad369,False,2019-02-15 10:47:00,127.3,EXPE just imagine when this market turns and this things under performance really comes out have been slowly adding puts
