Dc320,,2019-02-15 15:30:00,45.709,SSTI whats up with the drop today
T1BUR0N,True,2019-02-15 13:54:00,47.145,SSTI I remember when I would look at my account midday and see 4 and freak out Now Im like Pfft that money is just out for a walk
ActionPotential,True,2019-02-15 12:38:00,46.56,SSTI just bought 21 more
T1BUR0N,True,2019-02-15 12:34:00,46.743,SSTI Chicago improvements credited to technology like SST videofoxnewscomv5985327 Still more work to be done
Ryan_P,True,2019-02-15 12:03:00,46.222,SSTI Update on West Palm Beachs Real Time Crime Center wjnoiheartcomfeaturedlo
Ryan_P,True,2019-02-15 11:49:00,46.88,SSTI We need EricKnowAll to post something bearish so the afternoon rally can start
T1BUR0N,True,2019-02-15 11:33:00,47.242,SSTI Stocktwits literally will not allow a link to this article so heres a workaround for you lmgtfycomqhttps3A2F2 Watch then click
Hatman,False,2019-02-15 11:26:00,47.265,SSTI Hey StockTwitsif I want to see friggin ads for squirty asshole washers Ill move to France and play soccer Backing you up 15
T1BUR0N,True,2019-02-15 10:50:00,47.391,SSTI This is a low volume stock but this morning is extraordinarily low Everyone must be in position waiting on earnings
Hatman,True,2019-02-15 09:57:00,47.714,SSTI So what does this Kooky CS have in store today
