greenchipjeff,True,2019-02-15 10:30:00,4.65,SALT Bullish energyandcapitalcomarticl
YPHAR,True,2019-02-15 10:18:00,4.59,EGLE breakout today slowly but surely EDRY GLBS EGLE TOPS DCIX SSW SFL MATX TRTN SEB CMRE GSL DAC NM DSX SALT PXS
YPHAR,True,2019-02-15 10:10:00,4.573,EGLE GLBS EGLE TOPS DCIX SSW SFL MATX TRTN SEB CMRE GSL DAC NM DSX SALT PXS EDRY
