shortvolumes,,2019-02-15 13:55:00,57.149,Short sale volume not short interest for CCL on 20190214 is 66 shortvolumescomtCCL via shortvolumes
InsiderForms,,2019-02-15 13:40:00,57.075,Bray Capital Advisorshas filed Form 13F for Q4 2018Opened NEW positions in ADBE AME BA CI CCL DGLY FSTA FENY FNCL FIDU FREL
InsiderForms,,2019-02-15 10:10:00,57.236,WEXFORD CAPITAL LPhas filed Form 13F for Q4 2018Opened NEW positions in AEO AROC AZN AYTU BA BMY CCL CEMI CFX CMCSA DMAC DWDP
