StevePattersonTrading,False,2019-02-15 11:46:00,257.459,SPY QQQ DIA This will push the Dems over the edge there will be nothing but fighting going forward there will be no more cooperation
MAtheMEATLOAF7,,2019-02-15 11:39:00,257.495,DIA SPY QQQ SPX DJIA 2nd half day will be interesting we either power through major resistance and close above or start hard rejection
MAtheMEATLOAF7,,2019-02-15 11:39:00,257.495,DIA SPY QQQ SPX DJIA dow hourly updated 1st major resistance officially reached look how its already causing problems
joshualuce,,2019-02-15 11:36:00,257.475,DIA its all about dividend capture
debjm,,2019-02-15 11:30:00,257.65,SPY he says its going to be a good deal or no deal DJIA SPX DIA QQQ BA XLF AAPL XLE
NFTRH,,2019-02-15 11:26:00,257.533,NFTRH does Macro Tourist and Gold nftrhcom20190215guess GLD SLV GDX GDXJ TIP TLT SHV SPY DIA QQQ UDN UUP
MAtheMEATLOAF7,,2019-02-15 11:22:00,257.196,DIA SPY QQQ NFLX wkly chart potential inverse HS setup can start rshoulder wn next 2 weeks base at 339 3145 PT at 392 gap fill
morphues,,2019-02-15 11:19:00,257.257,SPY DIA I cannot believe we are up with this guy talking we should be down 300 point
TankTopTrader,False,2019-02-15 11:13:00,257.293,SPY DIA QQQ because of Powell not going with auto pilot Dumb ass investor probably took on more risk instead of moving to safer funds
TankTopTrader,False,2019-02-15 11:11:00,257.39,SPY DIA QQQ Powell should of stick w Auto Pilot at least avg retail investor will understand and start divest and move to safe haven
MAtheMEATLOAF7,,2019-02-15 11:03:00,257.583,DIA SPY QQQ SPX biggest question how will the upcoming trade news effect the major patterns for the indexes wish we could chart news
TankTopTrader,False,2019-02-15 11:00:00,257.43,SPY DIA QQQ oh no economy slowing down lets force feed it by going dovishyou shitting me Im no economist but this is scary shit now
TankTopTrader,False,2019-02-15 10:55:00,257.5,SPY DIA QQQ imo to fix QE balloon is 1 answer global defaults going more dovish is a bad jokewhatdoiknow avgtrader noeconomist
TankTopTrader,False,2019-02-15 10:53:00,257.37,SPY DIA QQQ going dovish wont workbecause of QE caused asset bubble and massive market saturation
Option_Wolf,True,2019-02-15 10:50:00,257.646,Positive reaction to government shutdown ending Speculators are out Markets are up SPY QQQ SPX DIA IWM
MAtheMEATLOAF7,,2019-02-15 10:49:00,257.707,DIA SPY QQQ next major dow resistance is 400 pts from here if your wondering how much more we can extend if trade news comes early
StevePattersonTrading,False,2019-02-15 10:45:00,257.757,SPY QQQ DIA with Powell now a confirmed Dove this would not surprise me to see all time highs again
