PaleoDude,,2019-02-15 13:32:00,0.89,SINO higher than tops for once
maestro_of_NAK,,2019-02-15 12:06:00,0.8899,SINO alright who is ready for me to move the flag poles to 09394 Give me a thumbs up Everyone I get I buy 1000 more shares at market
Congostockchat,,2019-02-15 10:48:00,0.8801,SINO lol revs this year maybe 45m with a 13m market value for the entire company
nextlcoin,True,2019-02-15 10:38:00,0.8802,TOPS SINO DCIX Aligning for Super Nova
NB1929,True,2019-02-15 10:37:00,0.8802,TOPS SINO
stockcloud,True,2019-02-15 10:26:00,0.8961,FCEL SKYS CFMS SINO ADOM IPWR Strength may continue into dayAH IMO Volatility Watch
maestro_of_NAK,,2019-02-15 10:23:00,0.8998,SINO Watch as the maestro of SINO becomes a god here at 94 cents
maestro_of_NAK,,2019-02-15 10:09:00,0.865,GLBS bye bye SINO looks like we caught the wrong ship here 94 cents BaBoom
maestro_of_NAK,,2019-02-15 10:08:00,0.88,SINO parabolic move indicator just went off on my trading platform 94 cents by 1030 Not sure GLBS has the balls to follow Eh Victor
maestro_of_NAK,,2019-02-15 09:49:00,0.8651,GLBS someone just smacked the ask at SINO for 10K bids rising Will we follow
Congostockchat,,2019-02-15 09:34:00,0.85,SINO total mkt value of the company Under 13m Quarterly revenues alone almost equal that No way is this worth under 6 to 8 a share
