PonteVedra,True,2019-02-15 14:05:00,87.773,EXAS Buying morelove this company
getvolatility,,2019-02-15 13:26:00,87.565,Unusual put buying DO 19x average volume COTY 17x KO 12x CVE 8x CTL 7x EXAS 6x SLB 5x EWW 5x
jbalboni,,2019-02-15 13:05:00,87.747,EXAS The times they are a changing
jbalboni,,2019-02-15 12:25:00,88.173,EXAS The cult has begun gathering for the loss report
jbalboni,,2019-02-15 09:47:00,88.419,EXAS the 5050 gross profit split means larger losses still As sales have grown losses also have grown now they give away ½gross profit
