Bill_H,,2019-02-15 15:10:00,23.144,CYBR Some consolidation and then itll be good for another run HACK FTNT SYMC PFPT PANW
Ro_Patel,,2019-02-15 10:14:00,23.2,Moodys confirms SYMC Baa3 rating outlook changed to stable
Ro_Patel,,2019-02-15 10:13:00,23.176,SYMC Watchlist for breakout Gap up post earnings Above 92150200DEMA IV rank 16 PC 0298 Float shorted 167
