Stock_Moose,,2019-02-15 11:01:00,0.7999,GSL I just dont Fkin understand
YPHAR,True,2019-02-15 10:18:00,0.7521,EGLE breakout today slowly but surely EDRY GLBS EGLE TOPS DCIX SSW SFL MATX TRTN SEB CMRE GSL DAC NM DSX SALT PXS
YPHAR,True,2019-02-15 10:10:00,0.7521,EGLE GLBS EGLE TOPS DCIX SSW SFL MATX TRTN SEB CMRE GSL DAC NM DSX SALT PXS EDRY
