GFO,,2019-02-15 15:59:00,108.136,MSFT now you have my attention See ya next week
Montpbm,True,2019-02-15 15:58:00,108.148,MSFT F You selling bastards made me sell because I didnt think it would close above 108 F Lol I lost money but didnt have to
Donnie_Azoff0707,,2019-02-15 15:55:00,108.031,MSFT weird movement
SDJB,True,2019-02-15 15:51:00,108.01,MSFT looking gravy Like it here for a swing Monday de week could be interesting
Mike_Rotsch,,2019-02-15 15:48:00,108.078,MSFT The market is going to push the bullshit button on this And when it does its going to be dramatic Mark my words
M31,True,2019-02-15 15:46:00,108.107,MSFT we might close at 108
HatethewordNever,,2019-02-15 15:46:00,108.107,DGAZ Think I have to rent a hotel on the ocean and sleep with the sliding door open Every one needs time away GLA MSFT good to me today
InsiderForms,,2019-02-15 15:40:00,107.984,PENINSULA ASSET MANAGEMENT INChas filed Form 13F for Q4 2018Opened NEW positions in MSFT NEE ROP
debjm,,2019-02-15 15:34:00,107.934,AAPL have a good long weekend too next week is walmart possib jan retail sales if they get released XLF XLE MSFT
Donnie_Azoff0707,,2019-02-15 15:32:00,107.922,MSFT Mike puts at this level
Arc_Viper,False,2019-02-15 15:28:00,107.914,MSFT so how about a good down day this month
Mike_Rotsch,,2019-02-15 15:27:00,107.9,MSFT I covered on the dip but if this thing drops Ill be celebrating as if I hadnt It Needs To Die
atitagain,False,2019-02-15 15:25:00,107.916,MSFT where is this 108 magnet coming from floor drop incoming
OptionsForecast4U,,2019-02-15 15:17:00,107.855,I didnt trade today my my team was still killing it with JPM KO MSFT BMY
Mike_Rotsch,,2019-02-15 15:09:00,107.902,MSFT Consolidation during power hour on a Friday afternoon Who saw that one coming I sure as hell didnt but I should have
im_a_genius,,2019-02-15 15:03:00,107.92,AMD MSFT made a big comeback today after a taking what was a substantial loss imo two days ago Nice 3200 profit between the two on calls
briefingcom,,2019-02-15 15:01:00,107.903,Missing Leadership from FAANG SPY QQQ XLK FB AAPL AMZN NFLX GOOG MSFT briefingcominvestormarke
Preatorian,,2019-02-15 14:58:00,107.938,MSFT confirmed short indications on my set up Id have a late entry 10794
Preatorian,,2019-02-15 14:55:00,107.957,MSFT chart setting up like it did ar 1040 Look for another push above 10801 and go short Just my opinion
EquityClock,,2019-02-15 14:55:00,107.957,Microsoft MSFT a Dow Jones Industrial stock moved above 10790 extending an intermediate uptrend
LightTouch,False,2019-02-15 14:54:00,107.946,MSFT Even after a market rally this thing cant hold 108 Tuesday will bring it back to 106
Papabear4life,,2019-02-15 14:40:00,107.967,MSFT why this is back at 108 I dunno lol National emergency declared it never broke and held I guess its all the manipulation
Mike_Rotsch,,2019-02-15 14:32:00,107.894,MSFT Trump is declaring a national emergency It is a Friday Ascending wedges are everywhere NOTHING justifies this price action
debjm,,2019-02-15 14:32:00,107.894,SPY the markets likely to refocus on data next week after the long weekend as trade hopes priced in again SPX DJIA XLF MSFT XLE QQQ
debjm,,2019-02-15 14:30:00,107.853,SPY well he did say it will be a good deal or no deal obviously there are significant differences SPX DJIA XLF MSFT XLE QQQ
99fy,,2019-02-15 14:23:00,107.907,MSFT Love watching people lose money with their socalled charts If you buy and hold youll make money
Mike_Rotsch,,2019-02-15 14:20:00,107.871,MSFT So tired of this fake ass market breaking out of ascending wedges to the upside on a Friday
Thankfulness,,2019-02-15 14:04:00,107.781,MSFT AAPL this is so cute twittercomjonerlichmanst
EdgePointVA,True,2019-02-15 14:03:00,107.774,MSFT retrace back to 108
Preatorian,,2019-02-15 13:56:00,107.653,MSFT bulls trying to make a move over the 78ma Times running out to test 10790 Needs to close 10780 to remain bullish til tuesday
Preatorian,,2019-02-15 13:45:00,107.65,MSFT price action seems a bit off Looks like consolidation on a 2m chart for a run But larger charts show a failure Channel is 5050
homey,True,2019-02-15 13:44:00,107.647,SURG L2looking solid ORCL FB MSFT TWTR QCOM AMZN otcpicks1 otctalk NasdaqPennystock ilikebbstock realPapaStocks
topstockalerts,,2019-02-15 13:21:00,107.58,Analysts Applaud IBMs Move To Make Watson Available CrossCloudMSFT IBM AMZN RHTmbenzingacomarticle1317
pacmaneatsyou,,2019-02-15 13:17:00,107.612,Cisco Systems Impresses CSCO seekingalphacomarticle42 AMZN GOOGL MSFT HPE
Taxes_are_2_damn_high,True,2019-02-15 13:13:00,107.612,How the Fck is the DOW up 300 points and my stocks are negative AAPL SQ MSFT AVGO IBM AMZN
Mike_Rotsch,,2019-02-15 12:57:00,107.641,MSFT Plunge Protection Team is on duty Considering covering in the next hour
freespirit2,True,2019-02-15 12:46:00,107.661,GOOSCA my 12 year old needed a winter coat What brand did he mention GOOS When MSFT bought Mindcraft I bought MSFT 55 Re LULU
debjm,,2019-02-15 12:45:00,107.728,QQQ news on fb briefingcominvestormarke XLK MSFT AMZN
Cecil3,True,2019-02-15 12:35:00,107.632,IPWR lets go AMD AMZN MSFT MYSZ GOOG also look at lfap
HowieG,True,2019-02-15 12:33:00,107.669,MSFT Thanks Magic Mike
Mike_Rotsch,,2019-02-15 12:28:00,107.774,MSFT And now we have it on our 5m chart
MarketRealist,,2019-02-15 12:22:00,107.712,Trump Declares a National Em F G SPY AMD NVDA QCOM MSFT GE GOOG NFLX AMZN AAPL marketrealistcom201902t
Mike_Rotsch,,2019-02-15 12:20:00,107.728,MSFT Nice job bulls
sleekOptions,True,2019-02-15 12:14:00,107.766,Peak gain the last 3 expired setups MSFT 11415 6331 1979 6751
sleekOptions,True,2019-02-15 12:13:00,107.784,Update7 MSFT Feb15 106 Calls Up 102 since alerted on Feb 07
Prodavec_kukol,,2019-02-15 12:06:00,107.642,AMD NVDA MSFT sellin premium the right way no gambling no nonsense approach to trading Will be starting IG accnt soon to teach u all
HowieG,True,2019-02-15 12:03:00,107.563,MSFT thanks for the Historic Facts Magic Mike
BrotherBill01,True,2019-02-15 11:52:00,107.623,My MSFT Long Calls for Mar are doing well today Im liking its movement with OPTIONS
Preatorian,,2019-02-15 11:50:00,107.559,MSFT Im out for the day Up 475 75 on call swings 400 zero day puts Verified by tradestation
SamanthaLaDuc,,2019-02-15 11:46:00,107.472,MSFT trend long in case they get the DOD contract I think they will get the 10B DOD contract over AMZN
Mike_Rotsch,,2019-02-15 11:43:00,107.493,MSFT Longest bull market in history Worst December since Great Depression Best start to a year since 1991
fugazicapital,True,2019-02-15 11:38:00,107.558,MSFT Best stock that I own It pays great dividends and remains stable I heard they are leading the cloud world as well Very bullish
Donnie_Azoff0707,,2019-02-15 11:33:00,107.594,MSFT Im happy im out trade more next week
Donnie_Azoff0707,,2019-02-15 11:28:00,107.573,MSFT solid place to short
InvestorsBusinessDaily,,2019-02-15 11:25:00,107.532,Stocks Rise Canopy Growth Microsoft SSC Near Buy Points Watch Our Morning Video Here pscptvIBDinvestors1yoKMj CGC MSFT SSNC
Donnie_Azoff0707,,2019-02-15 11:20:00,107.457,MSFT Mike your ways have saved me these last two days thank you sir Charting is sick
Mike_Rotsch,,2019-02-15 11:19:00,107.495,MSFT Wow Look at that technical damage
julio8442,True,2019-02-15 11:17:00,107.689,NVDA AMD MSFT INTC BABA bout freakin time
Donnie_Azoff0707,,2019-02-15 11:14:00,107.675,MSFT mike mike mike mike mike guess which way it goes
Taxes_are_2_damn_high,True,2019-02-15 11:13:00,107.648,Lets be great AAPL AMZN SQ AVGO IBM MSFT
spense375,,2019-02-15 11:13:00,107.648,MSFT tech is dumping hard
jlindsey0923,,2019-02-15 11:13:00,107.648,MSFT Trump sounds like a 14 year old in speech class This is why you sell before he starts speaking
Donnie_Azoff0707,,2019-02-15 11:10:00,107.79,MSFT down she goes
Ro_Patel,,2019-02-15 11:07:00,107.847,MSFT Looks to breakout Above 382 Fib level 92150200DEMA Technicals pos slope IV rank 18 PC 0507 Float shorted 053
HowieG,True,2019-02-15 11:06:00,107.895,MSFT Magic Mike
