CBSR,,2019-05-24 12:22:00,4.475,JVA Expecting Gordons to give some detail on CBD I suspect they are in talks with NBEV
contrarianspeculator,,2019-05-24 10:59:00,4.51,JVA margin call is forcing me to sell 2000 shares today Im trying to sell them at 452 any takers
contrarianspeculator,,2019-05-24 10:39:00,4.51,JVA we need a news release and we need it soon Gordon promised me one prior to next months earnings release but I am beginning to wonder if that will actually occur
contrarianspeculator,True,2019-05-24 10:36:00,4.51,JVA I am a glutton for punishment Trying to buy more at 430
contrarianspeculator,,2019-05-24 09:46:00,4.4,JVA Institutions on a sequential basis increased their holdings in the 1st Q of 2019 a substantial 37 from 126 m shares to 173 m shares or 31 of the companys outstanding shares of 5569349
