timhorton,,2019-05-24 15:59:00,178.028,QQQ why is this crashing Any news
Grimghost,,2019-05-24 15:59:00,178.028,QQQ bear trap
Lexcorp331,,2019-05-24 15:58:00,178.056,QQQ Holds out until 3 minutes until close and tanks Fcking ridiculous lol
ironwill21,False,2019-05-24 15:56:00,178.221,QQQ dont worry next week will be even worse Cant wait to kiss 175
optiondoodle,,2019-05-24 15:55:00,178.235,QQQ closing out the week with the confidence of a weasel
frankjohnson123,,2019-05-24 15:53:00,178.139,SPY Nasdaq at low of session QQQ
marketchameleonwins,,2019-05-24 15:53:00,178.139,QQQ 20Sep19 175 Puts tied to stock traded 4500 for a total premium of 2875500 marketchameleoncomOvervie
200pips,True,2019-05-24 15:51:00,178.204,QQQ ughhh why a shTY close as long as we dont finish under 17825 were still good to go
Remind,False,2019-05-24 15:46:00,178.167,QQQ There goes your hourly uptrend
CowBoE,,2019-05-24 15:44:00,178.225,QQQ green red green redtrying to decide which color to close with LOL
DiverX,,2019-05-24 15:42:00,178.204,SPY QQQ ROKU on fire been a surprising safe haven during trade drama
Remind,False,2019-05-24 15:39:00,178.353,SPY QQQ No trade deal for trump stock market goes down poll numbers go down Democrats will go further left the stock market will further go down poll numbers will further go down etc
Lexcorp331,,2019-05-24 15:34:00,178.392,QQQ Watching 5 min it is being kept in a 30 cent channel for hours Computers in control whatever they want is what we get How we allowed computers to compete with humans in a stock market is beyond me dont remember voting for that
OoohYesssss,,2019-05-24 15:32:00,178.385,SMH QQQ SPY dan niles talking his book lmao nobody knows the future but now seems dumb to cover shorts and then go long cover shorts and take profit fine but go long rediculous
CrocksAndPonds,,2019-05-24 15:30:00,178.425,QQQ OK I guess 17850 is the pin then so much for mowing the lawn and hoping for some love with those puts
SunshineDisinfectant,,2019-05-24 15:25:00,178.422,QQQ in Put Option looking for it to hit 17350 approx as we go into next week when there is rebalancing where stocks are being sold bonds being purchased as sell in May go away takes effect at the end of the month Additionally 60B China tariff increases 5 to 25 take effect 61 which is next Saturday USOIL down big last few days also watching VIX for spike Fear Greed Index in the mid20s
CowBoE,,2019-05-24 15:25:00,178.422,QQQ 178 pin at close
Lexcorp331,,2019-05-24 15:25:00,178.422,QQQ So humorous it wont go red Pure Algo programming So fake and rigged lol
Bag0_,,2019-05-24 15:21:00,178.329,SPY DIA QQQ IWM is it gonna be a big green day or big red day monday lmk
CowBoE,False,2019-05-24 15:20:00,178.28,QQQ About to go red
ASKORBIK,False,2019-05-24 15:20:00,178.28,SPY QQQ sell into close
a_hole,False,2019-05-24 15:19:00,178.325,QQQ flush it
MarketCharts,,2019-05-24 15:18:00,178.388,Nasdaq100 Stocks With Daily RSI Above 70 23May5Day 3 10Day 1 14Day 1 NDX QQQIndexIndicatorscom
PajamaTrader,True,2019-05-24 15:11:00,178.528,Ladies and gentlemen this is caller HIGHER LOWS and is the single best day trading strategy Ever since yesterdays session the first higher low I longed it with calls and until this pattern ends will stay long the trade SPY QQQ
seeitmarket,,2019-05-24 15:10:00,178.511,NEW Article SP 500 Weekly Overview Trading Outlook Bears Dig In seeitmarketcomsp500week by MarkNewtonCMTSPY QQQ USO CLF TNX
