WallStJesus,,2019-05-24 12:36:00,38.88,AMBA SMALL OPENING JULY BULL BET
taguru,,2019-05-24 10:42:00,38.545,AMBA Ambarella AMBA 3721 was the stock markets top loser yesterday falling 508 tickeroncomeventid12388
taguru,False,2019-05-24 09:30:00,37.5,AIdvisor made a bearish call on AMBA netting in a 1258 gain over 1 month tickeroncomeventid11704
