RagingBullTime,,2019-05-24 14:36:00,1.05,BTX Triple bottom at 85ish will be a good add
shawnathon,True,2019-05-24 13:05:00,1.085,BTX here we go three day weekend and were gonna see two Green Days A sleeper hereWatching OTLK APHASwing maybe KXIN RBZ
MoneyMakinManhattan,False,2019-05-24 12:21:00,1.09,BTX you CANNOT make these kind of numbers up folks 1 month 1360 3 month 1148 6 month 3757 1 year 5135 2 year 6786And no major catalyst in the near futurekeep loading up folksto the moon we go keep buying
betterdaysco,True,2019-05-24 10:31:00,1.105,WKHS BIOC BTX TEUM all alerts looking good so far dont forget to keep a trailing sl or trading plan glta happy friday
MoneyMakinManhattan,False,2019-05-24 10:21:00,1.11,BTX its up 377 on 15k shares Keep loading up folksshes going to the moon
shawnathon,True,2019-05-24 10:08:00,1.1,BTX is there any catalysts on the horizon here It feels like this could run today
shawnathon,True,2019-05-24 10:01:00,1.1,BTX was good to buy a chunk yesterday Now run to 120 for me please so I can rebuy on Tuesday
