tables777,,2019-05-24 15:59:00,29.993,SE Anything under 30 is a steal
CorvetteFund,False,2019-05-24 15:56:00,29.996,SE we should wake up Tuesday to 2728
123_holden,,2019-05-24 15:33:00,29.845,SE Good day consolidating on low volume cooling off RSI for the next leg up
CorvetteFund,False,2019-05-24 15:08:00,29.84,SE imagine making 100k a year but having 100k in bills Surprise That SE youre poor Its poor Bankrupt Worth zero Short all day long from over 30
Johnpasal,False,2019-05-24 14:20:00,29.778,SE Here it comes prepare for crash landing
Jffcpr29,True,2019-05-24 13:13:00,29.92,SE See me Tuesday 2 lol
CorvetteFund,False,2019-05-24 13:06:00,29.92,SE juts crash come on this is boring
taguru,,2019-05-24 12:47:00,29.919,SE Sea SE 3059 was the markets top gainer this month soaring 25 tickeroncomeventid12354
Johnpasal,False,2019-05-24 12:23:00,29.92,SE Im no expert at chart analysis but this doesnt look like a position I would want to be in Long over the weekend
CorvetteFund,False,2019-05-24 11:57:00,29.903,SE still waiting for 28
CorvetteFund,False,2019-05-24 11:57:00,29.903,SE this stock is worth zero Makes no money
theOptionsAssassin,,2019-05-24 11:55:00,29.944,In late March we bought the SE August 25 calls for 280 Following the post earnings gap they are now in the 67 area
Johnpasal,False,2019-05-24 10:08:00,31.108,SE This is the last pump before the big dump three day weekend here folks are going to take the money and run expect this to crack hard into the market close
