SilverTalks,,2019-03-25 13:27:00,43.76,JWN wait for 40 retest for a potential buy
JDR1983,True,2019-03-25 12:01:00,43.905,FEYE CY JWN TWTR Added
JDR1983,True,2019-03-25 11:11:00,44.123,JWN Buy
EstimizeAlerts,,2019-03-25 11:03:00,44.06,JWN analysts on Estimize are expecting 506 YoY revenue growth for Q1 up from 464 in Q4 Reporting 0521 AMCestimizecomintrojwnchar
EstimizeAlerts,,2019-03-25 11:03:00,44.06,JWNs Comparable Sales is a key growth metric for their next report on 0521 AMC Will they beat last quarters 01 Comparable Salesestimizecomintrojwnchar
JDR1983,True,2019-03-25 09:35:00,43.348,JWN Bought Calls
