LordSun,True,2019-03-25 15:19:00,2.205,SFET Any little burst of volume this thing could be violent
Mohammad1975,False,2019-03-25 10:58:00,2.182,SFET if the stock price is an indicator of a comoany performance it means this comoany failed in delivering what it promised to
Mohammad1975,,2019-03-25 10:25:00,2.161,SFET bring the bulls tradebulls
