stocktowatch7,,2019-03-25 15:31:00,1.525,JCP here goes on stocksequitycomactivesto
Growth_Long,True,2019-03-25 15:06:00,1.526,JCP Witch hunt is over MuellerReport Was Unbridled Unlawful Unconstitutional and Unequivocal Judicial Treason youtubecomwatchvShf8Cna
Growth_Long,True,2019-03-25 14:43:00,1.515,JCP Creazy Goldman Sachs Globalists generating nakes shares to sell Puts 17th jan 2020 Huge open interests that day over 120000 Creazy
BMWLTWM3,,2019-03-25 14:19:00,1.5,JCP crooks working hard today 150 is the devil666
Rookie4653,,2019-03-25 14:18:00,1.5,JCP I have an order to return 10000 Please stay open
GuyB,True,2019-03-25 14:13:00,1.5,JCP Wtf MM you suck
livetraderalerts,,2019-03-25 12:21:00,1.525,JCP 202m ago Wilhelmina Models and JCPenney Team Up To Launch Shaquille ONeals Big and Tall Model Search prnewswirecomnewsrelease
Berserk74,True,2019-03-25 12:11:00,1.525,JCP European market closing in 45min or so We need TechTrader17 This board is dying without him Hope he recovers soon
BMWLTWM3,,2019-03-25 12:07:00,1.53,JCP Need more than this Wilhelmina Models and JCPenney Team Up To Launch Shaquille ONeals Big Tall Model Search
BMWLTWM3,,2019-03-25 11:52:00,1.532,JCP 4 weeks since earnings how about some PR anyone in JCP have some news about progress s guidance inventory analyst
GuyB,True,2019-03-25 11:49:00,1.531,JCP Come on Dont lose that momo You can do it
Belleoftheball,True,2019-03-25 11:45:00,1.535,JCP
hiren_ce18,True,2019-03-25 11:31:00,1.56,JCP 2
Sticky_Stocks,False,2019-03-25 11:26:00,1.57,JCP crasj
Berserk74,True,2019-03-25 11:25:00,1.563,CHK JCP Now Nasdaq going green Looks good so far Go green go plz Let me do the yard work with joy later today
GuyB,True,2019-03-25 11:17:00,1.556,JCP uff Its about damn time this resumed momo
EstimizeAlerts,,2019-03-25 11:03:00,1.54,JCP analysts on Estimize are expecting 012 YoY revenue growth for Q1 up from 908 in Q4 Reporting 0516 BMOestimizecomintrojcpchar
EstimizeAlerts,,2019-03-25 11:03:00,1.54,Heres what 6 Estimize analysts believe JCP will report for Q1 Same Store Sales on 0516 BMOestimizecomintrojcpchar
Berserk74,True,2019-03-25 10:53:00,1.55,JCP Im getting greedy today Lets have 160 closing plz
Berserk74,True,2019-03-25 10:39:00,1.535,JCP Keep it green plz
Berserk74,True,2019-03-25 10:36:00,1.53,JCP Green LOL
Berserk74,True,2019-03-25 10:30:00,1.512,CHK ESV NE NBR DNR GTE JCP Looks we may even see green close on some of the bullish ones today Go green go plz
BMWLTWM3,,2019-03-25 10:30:00,1.512,JCP Jill hire Mueller to investigate the manipulation of the stock that might win some WS crooks over and scare them straight
Berserk74,True,2019-03-25 10:24:00,1.51,CHK JCP Just woke up what do you know Market is doing much better than I was expecting last night Oil still above 58 Not bad
BMWLTWM3,,2019-03-25 10:16:00,1.495,JCP Options have dominated this stock for 3 years now 150 is sweet spot for WS not 2 and not 1 get use to it for now
BMWLTWM3,,2019-03-25 10:16:00,1.495,JCP Wall Street always in control nothing anyone on this bd can do unless u know someone with 100m that want to fuk the shorts
opsguy,True,2019-03-25 10:13:00,1.5,JCP Media still writing about events from 3 12 mos ago Always a good BUY indicator JCPotential
doctorkar,,2019-03-25 10:04:00,1.515,JCP this better not go down again today
