sleekOptions,True,2019-03-25 15:34:00,109.537,ICPT In the last six months 10 setups peaked above 100 after they were posted
RealAnalysis,,2019-03-25 12:20:00,110.179,EASL is the superbowl of NASH conferences ICPT and VKTX are this years winners imo
RealAnalysis,True,2019-03-25 10:36:00,108.38,VKTX ICPT or shorts that have done no DD EASL is the MAC daddy of NASH presentations and ICPT and VKTX being featured
