ChartMill,,2019-03-25 15:48:00,41.217,Bull flags detected by our stock screener in SERV CTRP and ACAD chartmillcomstockscreener
SPYontheQs,,2019-03-25 11:10:00,40.927,CTRP love to see that
EstimizeAlerts,,2019-03-25 11:00:00,40.739,Estimize revenue expectations are 013 lower than that of Wall Street for CTRP Q1 Reporting 0521 AMCestimizecomintroctrpcha
EstimizeAlerts,,2019-03-25 11:00:00,40.739,CTRPs Gross Margins is a key growth metric for their next report on 0521 AMC Will they beat last quarters 790 Gross Marginsestimizecomintroctrpcha
SPYontheQs,,2019-03-25 09:59:00,40.254,CTRP Have calls
