TheNialRiver,False,2019-03-25 12:34:00,20.953,SPY is red DSW AEO ANF sky high above the rest of the market yeeeeokay Watching you clowns
EstimizeAlerts,,2019-03-25 11:11:00,20.86,Heres what 5 Estimize analysts believe AEO will report for Q1 2019 revenue Reporting 0530 AMCestimizecomintroaeochar
EstimizeAlerts,,2019-03-25 11:10:00,20.89,AEO reported 60 Comparable Sales last quarter Next report is on 0530 AMC Jury is still out on expectations Whats yoursestimizecomintroaeochar
