VolumeBot,,2019-03-25 13:53:00,27.1,Percent short volume for LB was 3504 on 032219 volumebotcomsLB
EstimizeAlerts,,2019-03-25 11:08:00,27.084,Estimize EPS expectations are 370 higher than that of Wall Street for LB Q1 Reporting 0522 AMCestimizecomintrolbchart
EstimizeAlerts,,2019-03-25 11:07:00,27.079,LBs Comparable Sales is a key growth metric for their next report on 0522 AMC Will they beat last quarters 30 Comparable Salesestimizecomintrolbchart
