lofer,,2019-03-25 11:59:00,4.223,VVUS MM taking it down on low volume
Fred_G_Sanford,,2019-03-25 09:47:00,4.152,VVUS two analysts asking questions on last conference call bodes well for initiating coverage upgrades and run up in share price
Fred_G_Sanford,,2019-03-25 09:45:00,4.152,VVUS Waiting for Wells Fargo to initiate VVUS as a STRONG BUY
