ironwill21,True,2019-03-28 15:58:00,84.605,IIPR I own and and I watch it daily Buy on the red days like today
alta2813,False,2019-03-28 15:52:00,84.56,IIPR guess the days of making money on this stock are over
OPmoney,,2019-03-28 14:15:00,85.604,CGC CTST IIPR CVSI IIPR RKDA CVSI ACB MJ APHA CRON PYX HEXO TLRY APHA Team Spirit
OPmoney,,2019-03-28 12:41:00,86.565,CTST IIPR CVSI IIPR RKDA CVSI CGC ACB MJ APHA CRON PYX HEXO TLRY APHA Hello GeorgiaHemp bill to pass Ohio SenateNext
OPmoney,,2019-03-28 12:30:00,86.622,CTST IIPR CVSI IIPR RKDA CVSI CGC ACB MJ APHA CRON PYX HEXO TLRY APHA 7day supply 39495979and 9995 Follow the money
OPmoney,,2019-03-28 12:24:00,86.772,CTST IIPR CVSI IIPR RKDA CVSI CGC ACB MJ APHA CRON PYX HEXO TLRY APHA CBD not in Naperville yet chicagotribunecomsuburbs
JcoleK,True,2019-03-28 11:30:00,86.921,CGC CARA CTST CRON HEXO GWPH IIPR LEVB MJ NBEV NTEC PYX REED SMG TLRY SAFE Act Passed Today Now it moves to the House
OPmoney,,2019-03-28 10:15:00,86.254,CTST IIPR CVSI IIPR RKDA CVSI CGC ACB MJ APHA CRON PYX HEXO TLRY APHA SAFE Banking Act passes House
