Stockbricks,True,2019-03-28 15:22:00,42.955,CHFS In a buy out scenario any major pharma would buy this out for 500 million hands down PFE AZN
nikes_kalra,,2019-03-28 13:03:00,43.11,bnnbloombergcacompanynewAZN on bloomberg AVEO
nikes_kalra,,2019-03-28 12:21:00,43.021,they obv believe in the drug otherwise AZN would have pulled out of the deal and not go back to complete the study with AVEOjust saying
nikes_kalra,,2019-03-28 12:05:00,43.03,got it pretty cheap so dont mind holding till apr 12nd on real pr from AZN and AVEO after their upcoming presentationGL to all
nikes_kalra,,2019-03-28 11:53:00,43.015,Reneejordan001 AVEO Neither company denied the rumor today HmmYoure right and AZN is up 040 and same for AVEO yesterday
BigZed,,2019-03-28 11:50:00,43.063,AVEO If the rumors were true AZN would have sold off for being idiots and paying 700 premium to stock price Use your head folks
sleekOptions,True,2019-03-28 10:34:00,43.151,AZN In the last one month 1 Winners above 30 and 0 Losers below 30
