bsurve1,,2019-03-28 15:39:00,2.987,ATRS this is ridiculous Was hoping to see 4 soon but looking at todays rally it is no more near 4
abdighaemmaghami,,2019-03-28 15:29:00,2.989,ATRS so this junk lost 30 of its value in 5 days if 3 is the base and we lose another 30 we will be in deep doo doo
TheRogers,,2019-03-28 14:20:00,2.99,ATRS dissapointed When the day that we will go over 4
Riverapro1,True,2019-03-28 11:36:00,2.935,ATRS lol what We receive news and get a new low
abdighaemmaghami,,2019-03-28 11:01:00,2.975,ATRS I wouldnt be surprised if these Mofos did an offering at 275 it will drop the pod to 225 then management will buy
abdighaemmaghami,,2019-03-28 10:29:00,2.97,ATRS unfortunately ATRS is not a race horse it is a mule with lots of make up to look like a race horse insiders know that
WasserHund,,2019-03-28 10:09:00,3.07,ATRS oversold
Riverapro1,True,2019-03-28 09:47:00,3.04,ATRS past that 300 mark like butter
abdighaemmaghami,,2019-03-28 09:40:00,2.988,ATRS as long as insiders treat this company like junk the PPS will reflect thatThey have not bought any shares not even 1 recently
