Tradingforaliving_,True,2019-03-28 15:59:00,5.813,NETE sell order at 50 and no im not greedy lol
TradeMaster11,True,2019-03-28 15:27:00,5.79,HIIQ multiday runner TOPS AMZN JD BW NETE NFLX
Jacob2030,,2019-03-28 11:44:00,5.848,NETE is a shame
Congostockchat,,2019-03-28 09:45:00,5.79,NETE there is one thing that is really really interesting In the last conference call Oleg said that as he was speaking they were starting
Congostockchat,,2019-03-28 09:38:00,5.79,NETE this company is doing awesome I think folks Moving into the Cannabis Market moving into being able to process crypto payments
Congostockchat,,2019-03-28 09:35:00,5.79,NETE manipulators are in a state of panic They have no idea whats going on No dilution in 6 months cash was down to about a million
Congostockchat,True,2019-03-28 09:31:00,5.79,NETE 1 week
