V3niVidiVici,True,2019-06-11 12:56:00,0.2434,EYEG buying this at 24 for a potential swing of 8 gain
K9G,False,2019-06-11 11:42:00,0.248,EYEG Still lookin like sub 20
K9G,,2019-06-11 11:26:00,0.2501,EYEG Risk reward starting to pique interest Maybe 50100 downside after RS over 2 years Long term hold for OBG success in 2020 may yield
