TekATL,,2019-06-11 14:33:00,0.904,YTEN still flagging down here
AZOZ,True,2019-06-11 12:51:00,0.9207,CHFS another one from the watchlist for the current week moving higher on volume this one guys super low floater could move higher if the volume kicks offEARS YVR HEB YTEN
AZOZ,,2019-06-11 12:39:00,0.9185,HEB from the watchlist for the week making strong reversal todayBig win if you followed my watchlist for the current weekCongrats followersYVR CHFS EARS YTEN
topstockalerts,True,2019-06-11 11:52:00,0.9174,YTEN Wants to breakout
AZOZ,True,2019-06-11 11:29:00,0.9247,HEB big win if you followed my call earlier today congrats longs and followers Still bullish in CHFS EARS YTEN APVOStay tuned
