cartmen5635,True,2019-06-11 15:22:00,54.3,NVCR holding up pretty well today with the newly established bottom
skadoooosh,True,2019-06-11 15:21:00,54.333,NVCR Theres a lot of equity in the dark pool trades today Retail sellers dumped this down Fully expecting this to rebound to around 55 by tomorrows session
traderjoze,,2019-06-11 15:06:00,54.15,NVCR battling for 54
skadoooosh,True,2019-06-11 13:45:00,53.73,NVCR I exited last week but I reentered today after waiting for this to bounce back to support I havent been more excited about a companys success in a long time
traderjoze,,2019-06-11 12:14:00,53.6,NVCR more insider selling no doubt
traderjoze,,2019-06-11 11:36:00,54.18,NVCR bouncing
traderjoze,,2019-06-11 11:31:00,54.15,NVCR here comes the test
traderjoze,,2019-06-11 10:40:00,54.65,NVCR one thing is for sure more form 4s are on the way showing large payouts to the C suite averaging 610 month
traderjoze,,2019-06-11 10:38:00,54.519,NVCR looking for a test of 54 to come into play again
