androsForm,,2019-06-11 15:58:00,123.073,EXPE JAN20 125 Cs MID
EstimizeAlerts,,2019-06-11 14:15:00,123.593,EXPEs Room Nights Growth is a key growth metric for their next report on 0725 AMC Will they beat last quarters 90 Room Nights Grestimizecomintroexpecha
EstimizeAlerts,,2019-06-11 14:15:00,123.593,EXPEs Total Bookings is a key growth metric for their next report on 0725 AMC Will they beat last quarters 2941B Total Bookingsestimizecomintroexpecha
sleekOptions,False,2019-06-11 11:06:00,123.75,Update1 EXPE Jun21 120 Puts Down 52 since alerted on Jun 07
sleekOptions,True,2019-06-11 11:05:00,123.681,Peak gain percentage for the last 3 expired setups EXPE 40435 per 22222 per 833 per 3514 per
EstimizeAlerts,,2019-06-11 10:39:00,124.022,Estimize revenue expectations are 130 higher than that of Wall Street for EXPE Q2 Reporting 0725 AMCestimizecomintroexpecha
