severin,False,2019-06-04 12:17:00,0.365,AEMD pump and dump of little shit scam stock
Reformed_Trader,True,2019-06-04 11:10:00,0.3684,AEMD surprised this isnt getting more attention the MACD giving the buy signal and RSI registering bullish divergence Sellers appear to be exhausted at these levels A matter of time for buyers to step in
Reformed_Trader,,2019-06-04 10:30:00,0.3746,AEMD right price and right chart to make a move imho
