giancarlo40,,2019-06-04 15:26:00,17.095,ANF why is not moving up
abyssac,False,2019-06-04 14:47:00,17.005,ANF wallminecompeople25937f at least I know shes burning worse than me lol
abyssac,False,2019-06-04 14:41:00,17.031,ANF take whats left of my shares worth nothing Im coming for your job
abyssac,False,2019-06-04 14:37:00,17.023,ANF what kind of company lets there stock drop 13 percent in a week This is Abercrombie and bitch shouldnt be allowed trading publicly
EstimizeAlerts,,2019-06-04 14:30:00,17.029,ANFs Comparable Sales is a key growth metric for their next report on 0829 BMO Will they beat last quarters 10 Comparable Salesestimizecomintroanfchar
abyssac,,2019-06-04 14:25:00,17.009,ANF we all thought 20 was coming back but it seems management doesnt give a
abyssac,,2019-06-04 13:53:00,17.106,ANF being tossed around like a used whore
momtoldme,False,2019-06-04 13:44:00,17.13,AEO will follow ANF
abyssac,False,2019-06-04 12:27:00,17.06,ANF Abercrombie shits the bed Extra Extra read all about it
59million,,2019-06-04 11:27:00,17.25,Waiting for the short squeeze in CGC and ANF
EstimizeAlerts,,2019-06-04 11:18:00,17.102,Heres what 9 Estimize analysts believe ANF will report for Q2 2019 revenue Reporting 0829 BMOestimizecomintroanfchar
abyssac,,2019-06-04 11:04:00,17.016,ANF dead horse bounce
taguru,,2019-06-04 10:01:00,17.16,ANF Abercrombie Fitch ANF 1701 drop 20 over the last 3 months tickeroncomeventid16227
