johno2,,2019-06-04 14:38:00,9.1,AAOI dragon2017 anyones guess with this one
dragon2017,,2019-06-04 14:14:00,9.09,AAOI anyone expect follow through rally tomorrow or pull backconsolidation before next leg higher
holecardernie,,2019-06-04 13:53:00,9.12,AAOI but you shorts while making a ton have not been humble god help you you might be smart but u still have life lessons to be learned
holecardernie,,2019-06-04 13:51:00,9.129,AAOI I take full responsibility for my stupidity congrats to the shorts you did not cost me money I did
JordynStarlight,,2019-06-04 12:54:00,9.1,LITE shitting on AAOI as usual
holecardernie,,2019-06-04 11:59:00,9.09,AAOI red rover red rover I knew you would roll over
holecardernie,,2019-06-04 10:24:00,9.072,AAOI since were left hanging on the fundamentals technicals all we got Ill be watching the setup sp 2650 or 2580
