guda762,True,2019-06-04 15:30:00,19.113,WLL can we get some late day buyers already
fla,,2019-06-04 15:24:00,19.155,WLL filed SEC form 4 Director ALLER THOMAS L Bought 1060900 of Common Stock at price 000 on 20190601 secgovArchivesedgardata
fla,,2019-06-04 15:24:00,19.155,WLL filed SEC form 4 Director WALEN MICHAEL B Bought 1060900 of Common Stock at price 000 on 20190601 secgovArchivesedgardata
fla,,2019-06-04 15:24:00,19.155,WLL filed SEC form 4 Director Knickel Carin S Bought 979300 of Common Stock at price 000 on 20190601 secgovArchivesedgardata
fla,,2019-06-04 15:23:00,19.135,WLL filed SEC form 4 Director HAHNE WILLIAM N Bought 1060900 of Common Stock at price 000 on 20190601 httpssflashalertmeCuI6Uj
fla,,2019-06-04 15:22:00,19.135,WLL filed SEC form 4 Director Catlin James E Bought 979300 of Common Stock at price 000 on 20190601 secgovArchivesedgardata
fla,,2019-06-04 15:21:00,19.13,WLL filed SEC form 4 Director Doty Philip Edward Bought 1115300 of Common Stock at price 000 on 20190601 httpssflashalertmeNnZwlP
cynthia2000xxx,,2019-06-04 13:33:00,19.185,Thanks to my fellow Stock Twit for the recommendation Got in WLL this morning Feeling good about it
Kozi,,2019-06-04 13:31:00,19.172,And RIG is going to negative EOD What an impotent stock WLL NE ESV are more better like this shit RIG What is needed to make some pop up SP500 is going more than 14 wti and Brent are going more than 15 today The result is the same like in the past weeks RIG is going down
primarywatcher,,2019-06-04 10:15:00,18.84,WLL out at 19
