Gmaster,False,2019-06-04 15:14:00,6.021,DFRG stock will probably go back to 5
TheWolfofworld,True,2019-06-04 14:37:00,6.052,DFRG before their prior acquisition the stock was trading around 20 so clean the balance sheet and goes back upSimple
TheWolfofworld,True,2019-06-04 14:32:00,5.97,DFRG I have said it many times Once the balance sheet is better its a 15 dollar stock Even 9 its not good if you are long term investor
PD23,,2019-06-04 14:24:00,5.95,DFRG either has to get back above 6 or 525 is on deck
TheWolfofworld,True,2019-06-04 14:24:00,5.95,DFRG that sucks I am making money regardless with cover calls I am long so no worries
muteyoself,,2019-06-04 14:20:00,5.938,DFRG gs been manipulating since 2014
muteyoself,,2019-06-04 14:00:00,6.18,DFRG cheerleaders are quite the bunch arent they
avpaul,True,2019-06-04 13:57:00,6.181,DFRG we all know this stock is undervalued and the company is worth way more than 620 if the price keep going down company will be under pressure for BO so those who are Long like me will take the advantage
mrwhippleshop1,,2019-06-04 13:45:00,6.205,DFRG almost impossible to make a decision without the volume to back it up The slow drift down is nonsensical unless it breaks 6 for a long period MMs could just be making a play for the 6 stops and then announcing
muteyoself,,2019-06-04 13:17:00,6.18,DFRG get em norm
muteyoself,,2019-06-04 12:41:00,6.32,DFRG its called the cracker barrel dive like the restaurant
muteyoself,,2019-06-04 12:39:00,6.32,DFRG looks like 620s gonna crack soon and fast
muteyoself,,2019-06-04 12:20:00,6.377,DFRG
taguru,,2019-06-04 12:17:00,6.333,DFRG Del Friscos Restaurant Group DFRG 651 was this quarters top loser falling 21 tickeroncomeventid16171
PD23,,2019-06-04 12:13:00,6.343,DFRG slow bleed this things going to 4 if there isnt news soon I had a feeling the high short interest showed that there wasnt much credibility to the rumors
taguru,,2019-06-04 11:52:00,6.45,DFRG Del Friscos Restaurant Group DFRG 651 was the stock markets top loser yesterday falling 51 Expect a Downtrend continuation httpstickeroncomgo165159
muteyoself,,2019-06-04 10:54:00,6.48,DFRG congratulations youve been conned
LocalJim,,2019-06-04 10:39:00,6.5,DFRG Im sure news will come out after my calls expirelol
BigSwede,,2019-06-04 10:23:00,6.49,DFRG the longer this drags on the higher the risk of new lows Unfortunately
