Vad1997,True,2019-02-14 15:55:00,11.272,CLF next leg up
Fortal,True,2019-02-14 15:41:00,11.33,CLF LG Said plenty of dry powder from d 200 million share repurchase program can easily increase the authorized amount to buyback
Fortal,True,2019-02-14 15:40:00,11.33,CLF Long and Strong Build that wall Paint that beautiful steel wall
gmonaayyy,,2019-02-14 15:37:00,11.33,CLF afraid theyre going to take this under 11 tomorrow soldMy cash positions still long in my IRA but cant afford to go under 11
Hornerstocks,,2019-02-14 15:37:00,11.33,CLF retail hates this thing y
Catalystrader,True,2019-02-14 15:31:00,11.31,CLF dont listen to the bears who are drowning in losses CLF is going much much higher I see 30 in 2020
cchen2783,,2019-02-14 15:25:00,11.32,CLF its coming The Great Wall of America
glevie,,2019-02-14 15:25:00,11.32,CLF better buy it up
RagusDogMack,,2019-02-14 15:22:00,11.29,CLF The up trend line on the daily is broken if you draw the line tight I dont care Lg get that buyback going right here
cchen2783,,2019-02-14 15:18:00,11.297,CLF trump said what he was going to do Finish the wall
glevie,,2019-02-14 15:12:00,11.249,CLF
glevie,,2019-02-14 15:11:00,11.25,CLF
Belleoftheball,,2019-02-14 15:02:00,11.194,CLF And this is what CLF does
beekers,,2019-02-14 14:56:00,11.175,CLF In 2 weeks you will have a 9 handle on this stock
beekers,,2019-02-14 14:54:00,11.19,CLF If you like it here at 1120 you are going to love it at 1020
italag5,,2019-02-14 14:53:00,11.192,CLF This one is for all the newbies that believed they would see a 13 pps youtubecomwatchvrY0WxgS
italag5,,2019-02-14 14:50:00,11.208,CLF Describes the price action this last week youtubecomwatchvYoDhgH
CMEHUNCHO,True,2019-02-14 14:46:00,11.215,CLF day it aint so MM be like Lets not pay 12 calls for friday or 1150s sounds great FML They fed shaking some bulls HOLD
cchen2783,,2019-02-14 14:44:00,11.213,CLF just a matter of time when this breaks 1213 It will be overnight when you least expect it
LuvMyBonds,,2019-02-14 14:44:00,11.213,CLF Trade talks at an impasse Hum Bet CLF falls under 1040 minimum maybe upper 9s
ajsuff,,2019-02-14 14:42:00,11.21,CLF OK who pissed in Golfer Bobs Cheerios today Could be that Beekers hacked into his account
