risenhoover,,2019-02-14 12:07:00,21.606,Cohen Steers Inc has filed a new 13G reporting 76 ownership in VICI httpsfinteliosousvici
cctranscripts,,2019-02-14 11:46:00,21.547,Christopher Pucillo just provided an update on share ownership of Vici Pptys Inc conferencecalltranscriptso VICI
livetraderalerts,,2019-02-14 11:43:00,21.546,VICI 22m ago SEC Amended Beneficial Ownership Report SC 13GA VICI PROPERTIES INC secgovArchivesedgardata
cctranscripts,,2019-02-14 11:19:00,21.552,Cohen Steers Inc just provided an update on share ownership of Vici Pptys Inc conferencecalltranscriptso VICI
livetraderalerts,,2019-02-14 11:14:00,21.545,VICI 21m ago SEC Beneficial Ownership Report SC 13G VICI PROPERTIES INC secgovArchivesedgardata
