Pswayzie,,2019-02-14 15:26:00,25.867,VIRT Update Our infamous liar ELD5 made a claim of shorting at 21 He is now 236
ELD5,False,2019-02-14 14:24:00,25.98,VIRT looks like it cant move past 26 selling short again here
InsiderForms,,2019-02-14 13:13:00,26.016,CMT TRADING LLChas filed Form 13F for Q4 2018Opened NEW positions in TVIX NUGT DUST SVXY XOP XBI VIRT
bruce86,True,2019-02-14 12:13:00,26.093,VIRT what a roller coaster
bruce86,True,2019-02-14 11:38:00,25.738,VIRT they had a blow out quarter This will rebound Good spot to get in if youre not Oh yeah nice little divi too
ELD5,False,2019-02-14 11:13:00,25.5,VIRT this stock is a sell on every time frame Why hold Someone give me one reason for anyone to buy here and hold
ELD5,,2019-02-14 10:51:00,25.636,VIRT you know what you never see her besides Bruceis anyone posting that they bought at a certain pricewhy Because no one is buyin
bruce86,,2019-02-14 10:23:00,25.85,VIRT E held overnight last night apparently You have no credibility dude lmao
ELD5,False,2019-02-14 10:07:00,25.633,VIRT whoa Missed that one Just dipped below the low of earnings date pop This stock is a shit show
ELD5,False,2019-02-14 09:59:00,25.706,VIRT covered at 2570 for now Took my 25
ELD5,False,2019-02-14 09:53:00,25.71,VIRT there she goes High frequency trading machines dumping
ELD5,False,2019-02-14 09:51:00,25.804,VIRT look at 30 day chart Without news or buyers this HAS TO TEST 25 A gimme
