ssp33dy,True,2019-02-14 14:06:00,18.129,JBLU
EstimizeAlerts,,2019-02-14 13:39:00,18.112,JBLU analysts on Estimize are expecting 845 YoY revenue growth for Q1 down from 1207 in Q4 Reporting 0423 BMOestimizecomintrojblucha
EstimizeAlerts,,2019-02-14 10:06:00,18.098,JBLU reported 1246 PRASM last quarter Next report is on 0423 BMO Jury is still out on expectations Whats yoursestimizecomintrojblucha
