MarketRealist,,2019-02-14 13:44:00,156.742,Will Procter Gamble Sustain Momentum in the Second Half PG CL KMB CLX CHD marketrealistcom201902w
InsiderForms,,2019-02-14 12:15:00,156.583,FRANKLIN STREET ADVISORS INC NChas filed Form 13F for Q4 2018Opened NEW positions in AGLE CLX FAT GIS LLY MLM DGX UNP
InsiderForms,,2019-02-14 10:45:00,156.178,UNITED BANKhas filed Form 13F for Q4 2018Opened NEW positions in ABC BIIB BAH CLX DAL FNB AGG MUB MU QCOM ROKU FOXA VWO VBR
