InfoTheory,,2019-02-21 13:41:00,3.13,ADMP
ElDonJuan,,2019-02-21 13:39:00,3.137,ADMP we were talkn about dilution yesterday Dont ya think they would have taken into account launch costs and calculated profit for Q1
beachsidefreddy,,2019-02-21 13:36:00,3.122,ADMP NO ONE HAS TO WORRY WE HAVE A WINNER
TXBiz,,2019-02-21 13:31:00,3.12,ADMP Now what
TXBiz,,2019-02-21 13:28:00,3.14,ADMP What color is this
the_invisible_hand,True,2019-02-21 13:26:00,3.14,ADMP How is it even possible 118K shares traded it isnt moving There have been big buy blocks 5 to 10K shares and it doesnt move
kkblue,True,2019-02-21 13:21:00,3.122,ADMP this thing is pegged unrealimho
wjgesq,,2019-02-21 13:14:00,3.13,ADMP The ADMP way
BowenHardcase,,2019-02-21 13:00:00,3.125,ADMP look to IMDZ or ZSAN see how real companies pop on positive catalysts This turd goes up 3 then bleeds 20 over following weeks
Naples4me,,2019-02-21 12:49:00,3.127,ADMP
kkblue,True,2019-02-21 12:34:00,3.13,ADMP 0 returned today oddfyi
beachsidefreddy,,2019-02-21 12:33:00,3.13,ADMP 2000 AT 313 BIGGEST TRADE OF DAY
beachsidefreddy,,2019-02-21 12:32:00,3.13,ADMP BLACKBEARD YELLS AND SCREAMS AT ME THE FLAG OR YOULL BE DONEI PUT DUDS IN ALL HIS GUNS WHEN HE GOES TO SHOOT IT SHOULD BE FUN
Tdc1,True,2019-02-21 12:23:00,3.12,ADMP boring day across the board Glad I sold my ACRX yesterday 40 in 3 days Im going golfing Yawn here
H73,,2019-02-21 12:19:00,3.12,ADMP another powder fill patent app appftusptogovnetacginph
Stockgodfather7,True,2019-02-21 11:53:00,3.12,ADMP Looks like another CRAZY GLUE day where the stock ends up getting stuck around 312 by the end of the day
Tdc1,True,2019-02-21 11:46:00,3.114,ADMP all I can say is ground hog year continues Until it dont Lol
beachsidefreddy,,2019-02-21 11:40:00,3.112,ADMP YOOOOOOOO HOOOOOOO MR BLACKBEARDI HAVE IT
beachsidefreddy,,2019-02-21 11:38:00,3.12,ADMP FIRST BIG BID IN DAYS
willanger,True,2019-02-21 11:29:00,3.12,ADMP this stock doesnt trade flat for a month Lots if Belt holding
URMessinUp,,2019-02-21 11:15:00,3.116,ADMP WOW BSF KNOWS A LOT HE KNOWS WHAT THE WORLD CANNOT UNDERSTAND AND HE IS RITE ABOUT THIS STOCK SO OFTEN JUST BELIEVE HIM
Stockgodfather7,True,2019-02-21 11:07:00,3.116,ADMP to paint dry
beachsidefreddy,,2019-02-21 10:30:00,3.12,ADMP KKTHROW YOURSELF ON IT OR I WILL
beachsidefreddy,,2019-02-21 10:30:00,3.12,ADMP PARROTYOU KNOW
beachsidefreddy,,2019-02-21 10:25:00,3.12,ADMP I TALKED TO MYLAN AND ASKED TO CONFIRM FDA PAGE WE GOT SHOWING THE MANUFACTURING DELAYS WE DONT SCREW AROUND EROD IS A GENIUS
beachsidefreddy,,2019-02-21 10:21:00,3.12,ADMP DO YOU TWITS GET IT MYLAN IS HAVING MANUFACTURIONG ISSUES AND NOT SELLING GENERIC EPIPEN THERE ARE 100 THINGS GOING RIGHT
Scooby_snack,,2019-02-21 10:07:00,3.112,SCYX ADMP msmoneymovescom20190221
BowenHardcase,,2019-02-21 10:06:00,3.112,ADMP yesterdays news read like attempt to pull interest away from competing naloxone nasal spray tech which could eat their lunch
beachsidefreddy,,2019-02-21 10:05:00,3.112,ADMP HOLD ON TO YOUR SEATS I CONFIRMED THIS WITH MYL AND FDAITS TRUE MANUFACTRING DELAYS GO ADMP
AncientAlien2,,2019-02-21 09:49:00,3.121,ADMP 11k traded SMH
kentuckyblue,True,2019-02-21 09:42:00,3.126,ADMP Unrelated to ADMP but check out the premium Merck To Buy Immune Design For 300M BMY CELG IMDZ benzingacomgeneralbiotec
beachsidefreddy,,2019-02-21 09:36:00,3.132,ADMP SEE THISITS THE KEY TO THE GOLDEN PALACE WWWSYMJEPICOM THAT COMES UP STILL AS DAILY MED NOT SANDOZ
beachsidefreddy,,2019-02-21 09:33:00,3.132,ADMP THE PUBLIC ETC DO NOT UNDERSTAND WHAT THAT NEWS YESTERDAY MEANT I DOWE DO ALL GOOD DOING MASS BLACK COLUMBIANCOFFEE HA
ItsSCO,True,2019-02-21 09:32:00,3.132,ADMP alright dumpy surprise me today Can we do 320 Wishful thinking
AncientAlien2,True,2019-02-21 09:30:00,3.103,ADMP ummm lemme guess drop around 306 close around 314
