ChartMill,,2019-02-21 13:37:00,30.107,MOMO PBF and URBN all having great fundamentals while not too expensive chartmillcomstockscreener
EstimizeAlerts,,2019-02-21 12:36:00,30.091,Estimize EPS expectations are 573 higher than that of Wall Street for URBN Q4 Reporting 0305 AMCestimizecomintrourbncha
EstimizeAlerts,,2019-02-21 09:57:00,30.375,URBNs Comparable Retail Sales is a key growth metric for their next report on 0521 AMC Will they beat last quarters Comparable Reestimizecomintrourbncha
EstimizeAlerts,,2019-02-21 09:42:00,30.286,URBN reported 80 Comparable Retail Sales last quarter Next report is on 0305 AMC Jury is still out on expectations Whats yoursestimizecomintrourbncha
