xsinner72,,2019-02-21 14:48:00,15.37,SLCA Inverted head and shoulder on the five minute SPX SPY
taguru,,2019-02-21 11:39:00,15.456,SLCA US Silica Holdings SLCA 1595 was the markets top winner yesterday jumping 459 tickeroncomeventid625429
taguru,,2019-02-21 11:05:00,15.435,SLCA US Silica Holdings SLCA 1595 was the markets top weekly gainer with a 12 jump tickeroncomeventid626095
