taguru,,2019-02-21 12:41:00,11.965,NAVI Navient NAVI 1266 was the markets top gainer this month soaring 16 tickeroncomeventid625626
BullBearCharts,False,2019-02-21 09:40:00,12.12,NAVI FTI XEC AIV CDNS DLPH A JNJ HRL AAP CME NKE CMI BIIB GRMN MAR DWDP SPY SP500 Gap Downbullbearchartsblogspotcom
BullBearCharts,False,2019-02-21 09:33:00,12.145,QQQ SUMR RWLK CBLK OTLK ACET ORPN SPTN INOV MARA GOGO GRIN SKYS ANY CONE NAVI PINASDAQ Gap Downbullbearchartsblogspotcom
