MarketRealist,,2019-02-21 13:07:00,128.24,Expedia Stock Highlights for Investors EXPE TRIP CTRP XWEB marketrealistcom201902e
EstimizeAlerts,,2019-02-21 13:00:00,128.18,Heres what 11 Estimize analysts believe EXPE will report for Q1 2019 revenue Reporting 0425 AMCestimizecomintroexpecha
EstimizeAlerts,,2019-02-21 09:48:00,127.371,EXPE reported 110 Room Nights Growth last quarter Next report is on 0425 AMC Jury is still out on expectations Whats yoursestimizecomintroexpecha
EstimizeAlerts,,2019-02-21 09:48:00,127.371,EXPE reported 2196B Total Bookings last quarter Next report is on 0425 AMC Jury is still out on expectations Whats yoursestimizecomintroexpecha
