Raider_in_Blk,,2019-02-21 13:28:00,2.1,ARTW in here with my boy jcmangan
jcmangan,,2019-02-21 13:24:00,2.06,ARTW Just added more here at 208 and 206 Shorts gonna burn Very organized covering so far
gottawinnow,,2019-02-21 11:05:00,2.11,ARTW 1030 AM on 219 sell selllsell and they have not stopped since Im starting to wonder who it is
jcmangan,,2019-02-21 10:57:00,2.11,ARTW A couple more of my bids went through Finishing this position off soon
gottawinnow,,2019-02-21 10:56:00,2.17,ARTW These Fuckingclowns turned what should have been a positive for their stock into a pump n dump
jcmangan,True,2019-02-21 10:04:00,2.15,ARTW Added here MC is equal to the value of the new contract they signed Gap filled and time to go back to 3s
gottawinnow,,2019-02-21 09:59:00,2.106,ARTW That contract represents a 210 increase in revenue for the modular business unit How did they not properly PR this great news
Detroitblues,,2019-02-21 09:40:00,2.18,ARTW have the shorts bothered to check the rather insane insider buying in the last 12 months
Detroitblues,,2019-02-21 09:36:00,2.177,ARTW pr stated 3rd time co has had a contract of this magnitude Doing the research other 2 times co had a huge year financially
