debjm,,2019-02-21 12:16:00,54.75,SPY but why are they at an outline stage that sounds far from any deal QQQ DJIA DIA XLP SPX
cybercash28,,2019-02-21 11:58:00,54.768,TVIX Red no hedging good for equities SPY DIA IWM QQQ XLK XLV XLY XLP
ElliottwaveForecast,,2019-02-21 10:32:00,54.51,XLP the area in between 54215391 should see short term buyers appearing for 3 wave bounce at least Elliottwave Trading
ElliottwaveForecast,,2019-02-21 10:25:00,54.52,XLP 4 hour Chart from 128 presented to members at elliottwaveforecastcom Elliottwave Trading
ElliottwaveForecast,,2019-02-21 10:25:00,54.52,XLP cycle from December lows should extend higher towards 552578 area before pulling back in 3 swings at least Elliottwave Trading
