Dudebro,True,2019-02-21 14:01:00,6.17,ONDK Volume just spike a couple times The buggers waking up
Bowtech32,True,2019-02-21 13:58:00,6.169,ONDK now seeing a better climb after a couple of huge trades
Bowtech32,True,2019-02-21 13:31:00,6.082,ONDK 2 big trades here
Boomer52,True,2019-02-21 11:08:00,6.082,ONDK In at 609 ready for the swing up
SpanishRetailer,,2019-02-21 10:51:00,6.03,MNGA go rradread ONDK board compare what youll read about insiders buying versus Mahoney and company
Bowtech32,True,2019-02-21 10:20:00,6.12,ONDK this pop should have most of the day traders out this morning time for the slow rise to the top
Bowtech32,True,2019-02-21 10:10:00,6.23,ONDK Nice jump this morning kinda expected this yesterday
SpanishRetailer,,2019-02-21 10:03:00,6.241,ONDK nice action these last few days I got 350 shares at 648 my sell order is sitting at 780 Might hold half of it for 850
